iter	Passed	Remaining
0	1	1275
1	1	872
2	2	749
3	2	714
4	3	652
5	3	608
6	4	592
7	4	569
8	5	561
9	5	545
10	6	544
11	6	534
12	6	527
13	7	519
14	7	510
15	8	503
16	8	496
17	9	499
18	9	494
19	10	494
20	10	496
21	11	496
22	11	495
23	12	491
24	12	489
25	12	484
26	13	481
27	13	477
28	14	475
29	14	473
30	15	473
31	15	473
32	16	473
33	16	471
34	17	470
35	17	469
36	17	467
37	18	479
38	19	478
39	19	476
40	20	476
41	20	475
42	21	473
43	21	471
44	22	468
45	22	465
46	22	463
47	23	464
48	23	465
49	24	463
50	24	463
51	25	461
52	25	459
53	26	470
54	27	468
55	27	467
56	28	466
57	28	465
58	29	464
59	29	462
60	29	460
61	30	461
62	30	460
63	31	459
64	31	458
65	32	457
66	33	459
67	33	459
68	34	459
69	34	459
70	34	457
71	35	455
72	35	454
73	36	452
74	36	455
75	37	454
76	37	453
77	38	454
78	38	453
79	39	452
80	39	451
81	40	451
82	40	447
83	41	447
84	41	446
85	41	445
86	42	444
87	42	443
88	43	442
89	43	440
90	44	440
91	44	439
92	44	438
93	45	437
94	45	435
95	46	435
96	46	434
97	47	433
98	47	432
99	47	431
100	48	431
101	48	430
102	49	429
103	49	428
104	50	426
105	50	425
106	50	424
107	51	423
108	51	422
109	52	421
110	52	421
111	52	420
112	53	418
113	53	417
114	54	417
115	54	416
116	55	415
117	55	414
118	55	413
119	56	413
120	56	412
121	57	411
122	57	410
123	58	409
124	58	409
125	58	408
126	59	407
127	59	406
128	60	405
129	60	404
130	60	403
131	61	403
132	61	402
133	62	401
134	62	400
135	63	400
136	63	400
137	64	399
138	64	399
139	64	398
140	65	397
141	65	396
142	65	395
143	66	394
144	66	394
145	67	393
146	67	392
147	67	391
148	68	390
149	68	389
150	69	389
151	69	389
152	70	388
153	70	387
154	71	387
155	71	386
156	71	386
157	72	385
158	72	384
159	73	384
160	73	382
161	73	382
162	74	381
163	74	381
164	75	380
165	75	379
166	76	379
167	76	379
168	76	378
169	77	377
170	77	376
171	78	376
172	78	375
173	78	374
174	79	374
175	79	373
176	80	373
177	80	372
178	81	372
179	81	371
180	81	370
181	82	370
182	82	369
183	83	368
184	83	368
185	83	367
186	84	366
187	84	365
188	85	365
189	85	364
190	85	363
191	86	363
192	86	363
193	87	362
194	87	362
195	88	361
196	88	361
197	89	360
198	89	359
199	89	359
200	90	358
201	90	357
202	90	356
203	91	356
204	91	355
205	92	355
206	92	354
207	93	354
208	93	353
209	93	352
210	94	352
211	94	351
212	94	350
213	95	350
214	95	349
215	96	348
216	96	348
217	97	348
218	97	347
219	97	346
220	98	346
221	98	346
222	99	345
223	99	344
224	99	344
225	100	343
226	100	343
227	101	342
228	101	342
229	102	341
230	102	341
231	102	340
232	103	340
233	103	339
234	104	339
235	104	338
236	104	337
237	105	337
238	105	336
239	106	336
240	106	336
241	107	335
242	107	335
243	108	334
244	108	334
245	108	333
246	109	333
247	109	332
248	110	332
249	110	331
250	110	330
251	111	330
252	111	329
253	112	329
254	112	328
255	113	328
256	113	328
257	113	327
258	114	327
259	114	326
260	115	325
261	115	325
262	115	324
263	116	324
264	116	323
265	117	322
266	117	322
267	117	322
268	118	321
269	118	320
270	119	320
271	119	319
272	119	319
273	120	318
274	120	317
275	120	317
276	121	316
277	121	316
278	122	315
279	122	315
280	123	314
281	123	314
282	123	313
283	124	313
284	124	312
285	125	312
286	125	312
287	126	311
288	126	311
289	126	310
290	127	310
291	127	309
292	128	309
293	128	308
294	128	308
295	129	307
296	129	307
297	130	306
298	130	306
299	131	305
300	131	305
301	131	304
302	132	304
303	132	303
304	132	303
305	133	302
306	133	301
307	134	301
308	134	300
309	134	300
310	135	299
311	135	299
312	136	298
313	136	298
314	137	298
315	137	297
316	137	297
317	138	296
318	138	296
319	139	295
320	139	295
321	139	294
322	140	294
323	140	293
324	141	293
325	141	292
326	142	292
327	142	291
328	142	291
329	143	290
330	143	290
331	144	289
332	144	289
333	144	288
334	145	288
335	145	287
336	146	287
337	146	287
338	147	286
339	147	286
340	147	285
341	148	285
342	148	285
343	149	284
344	149	284
345	150	283
346	150	283
347	150	282
348	151	282
349	151	281
350	152	281
351	152	280
352	152	280
353	153	279
354	153	279
355	154	278
356	154	278
357	154	277
358	155	277
359	155	276
360	156	276
361	156	275
362	156	275
363	157	274
364	157	274
365	158	274
366	158	273
367	158	273
368	159	272
369	159	272
370	160	271
371	160	271
372	161	270
373	161	270
374	161	269
375	162	269
376	162	268
377	162	267
378	163	267
379	163	267
380	164	266
381	164	266
382	165	265
383	165	265
384	165	264
385	166	264
386	166	263
387	166	263
388	167	262
389	167	262
390	168	261
391	168	261
392	168	261
393	169	260
394	169	260
395	170	259
396	170	259
397	171	258
398	171	258
399	171	257
400	172	257
401	172	256
402	173	256
403	173	255
404	173	255
405	174	255
406	174	254
407	175	254
408	175	253
409	175	253
410	176	252
411	176	252
412	177	251
413	177	251
414	177	250
415	178	250
416	178	249
417	179	249
418	179	248
419	179	248
420	180	247
421	180	247
422	181	247
423	181	246
424	181	246
425	182	245
426	182	245
427	183	244
428	183	244
429	184	244
430	184	243
431	184	243
432	185	242
433	185	242
434	186	241
435	186	241
436	187	241
437	187	240
438	187	240
439	188	239
440	188	239
441	189	238
442	189	238
443	189	237
444	190	237
445	190	236
446	191	236
447	191	236
448	192	235
449	192	235
450	193	235
451	193	234
452	193	234
453	194	233
454	194	233
455	195	232
456	195	232
457	196	232
458	196	231
459	196	231
460	197	230
461	197	230
462	198	229
463	198	229
464	199	228
465	199	228
466	199	228
467	200	227
468	200	227
469	201	226
470	201	226
471	201	225
472	202	225
473	202	224
474	203	224
475	203	223
476	203	223
477	204	223
478	204	222
479	205	222
480	205	221
481	206	221
482	206	221
483	206	220
484	207	220
485	207	219
486	208	219
487	209	219
488	210	219
489	210	219
490	210	218
491	211	218
492	211	217
493	212	217
494	212	216
495	212	216
496	213	215
497	213	215
498	214	215
499	214	214
500	215	214
501	215	213
502	215	213
503	216	212
504	216	212
505	217	212
506	217	211
507	218	211
508	218	210
509	218	210
510	219	209
511	219	209
512	219	208
513	220	208
514	220	208
515	221	207
516	221	207
517	222	206
518	222	206
519	223	205
520	223	205
521	223	204
522	224	204
523	224	204
524	224	203
525	225	203
526	225	202
527	226	202
528	226	201
529	227	201
530	227	201
531	228	200
532	228	200
533	229	200
534	229	199
535	229	199
536	230	198
537	230	198
538	231	197
539	231	197
540	231	196
541	232	196
542	232	195
543	233	195
544	233	194
545	233	194
546	234	194
547	234	193
548	235	193
549	235	192
550	235	192
551	236	191
552	236	191
553	237	190
554	237	190
555	238	190
556	238	189
557	238	189
558	239	188
559	240	188
560	240	188
561	241	187
562	241	187
563	241	186
564	242	186
565	242	186
566	243	185
567	243	185
568	244	184
569	244	184
570	245	184
571	245	183
572	246	183
573	246	183
574	246	182
575	247	182
576	247	181
577	248	181
578	248	180
579	249	180
580	249	180
581	250	179
582	250	179
583	250	178
584	251	178
585	251	177
586	251	177
587	252	176
588	252	176
589	253	176
590	253	175
591	254	175
592	254	174
593	254	174
594	255	173
595	255	173
596	256	172
597	256	172
598	256	172
599	257	171
600	257	171
601	258	170
602	258	170
603	259	169
604	259	169
605	259	168
606	260	168
607	260	167
608	260	167
609	261	167
610	261	166
611	262	166
612	262	165
613	262	165
614	263	164
615	263	164
616	264	164
617	264	163
618	265	163
619	265	162
620	266	162
621	266	161
622	266	161
623	267	161
624	267	160
625	268	160
626	268	159
627	268	159
628	269	158
629	269	158
630	270	157
631	270	157
632	270	157
633	271	156
634	271	156
635	272	155
636	272	155
637	273	155
638	273	154
639	274	154
640	274	153
641	274	153
642	275	152
643	275	152
644	276	151
645	276	151
646	276	151
