iter	Passed	Remaining
0	59	59513
1	60	29946
2	60	20091
3	60	15150
4	61	12184
5	61	10208
6	62	8797
7	62	7736
8	62	6911
9	63	6252
10	63	5713
11	63	5262
12	64	4882
13	64	4554
14	65	4271
15	65	4024
16	65	3805
17	66	3611
18	66	3437
19	66	3281
20	67	3138
21	67	3009
22	68	2890
23	68	2783
24	68	2684
25	69	2593
26	69	2508
27	70	2430
28	70	2356
29	70	2287
30	71	2223
31	71	2163
32	71	2106
33	72	2053
34	72	2003
35	73	1956
36	73	1911
37	73	1869
38	74	1829
39	74	1790
40	74	1754
41	75	1719
42	75	1686
43	76	1655
44	76	1625
45	76	1595
46	77	1568
47	77	1542
48	78	1518
49	78	1494
50	79	1470
51	79	1448
52	79	1426
53	80	1405
54	80	1385
55	81	1365
56	81	1347
57	81	1329
58	82	1311
59	82	1294
60	82	1277
61	83	1262
62	83	1247
63	84	1232
64	84	1218
65	85	1204
66	85	1190
67	85	1173
68	86	1160
69	86	1148
70	86	1136
71	87	1124
72	87	1112
73	88	1101
74	88	1090
75	88	1079
76	89	1069
77	89	1059
78	90	1049
79	90	1039
80	90	1029
81	91	1020
82	91	1011
83	91	1002
84	92	991
85	92	983
86	92	972
87	93	964
88	93	956
89	93	948
90	94	941
91	94	933
92	94	926
93	95	918
94	95	911
95	96	904
96	96	897
97	96	891
98	97	884
99	97	878
100	98	872
101	98	864
102	98	859
103	99	853
104	99	847
105	99	842
106	100	836
107	100	831
108	100	825
109	101	820
110	101	815
111	102	810
112	102	804
113	102	799
114	103	795
115	103	789
116	104	785
117	104	780
118	104	775
119	105	770
120	105	766
121	105	762
122	106	756
123	106	751
124	106	747
125	107	743
126	107	739
127	107	734
128	108	730
129	108	726
130	108	723
131	109	719
132	109	715
133	110	711
134	110	708
135	110	704
136	111	700
137	111	696
138	111	693
139	112	689
140	112	686
141	113	683
142	113	679
143	113	676
144	114	673
145	114	670
146	114	666
147	115	663
148	115	660
149	116	657
150	116	654
151	116	651
152	117	648
153	117	646
154	118	643
155	118	640
156	118	637
157	119	635
158	119	632
159	120	630
160	120	628
161	120	625
162	121	623
163	121	621
164	122	618
165	122	616
166	123	613
167	123	611
168	123	608
169	124	606
170	124	603
171	124	601
172	125	598
173	125	596
174	126	594
175	126	591
176	126	589
177	127	587
178	127	585
179	127	582
180	128	579
181	128	577
182	128	574
183	129	572
184	129	570
185	129	568
186	130	566
187	130	564
188	131	562
189	131	560
190	131	558
191	132	556
192	132	554
193	132	552
194	133	550
195	133	548
196	134	546
197	134	544
198	134	542
199	135	540
200	135	538
201	135	536
202	136	534
203	136	532
204	136	531
205	137	529
206	137	527
207	138	525
208	138	524
209	138	522
210	139	520
211	139	519
212	140	517
213	140	515
214	140	514
215	141	512
216	141	510
217	141	509
218	142	507
219	142	506
220	143	504
221	143	502
222	143	501
223	144	499
224	144	498
225	144	496
226	145	495
227	145	493
228	146	491
229	146	490
230	146	489
231	147	487
232	147	486
233	148	484
234	148	483
235	148	481
236	149	480
237	149	478
238	149	477
239	150	476
240	150	474
241	151	473
242	151	471
243	151	470
244	152	469
245	152	468
246	153	466
247	153	465
248	153	464
249	154	462
250	154	461
251	154	460
252	155	458
253	155	457
254	156	455
255	156	454
256	156	453
257	157	452
258	157	450
259	157	449
260	158	448
261	158	447
262	159	445
263	159	444
264	159	443
265	160	442
266	160	441
267	161	439
268	161	438
269	161	437
270	162	436
271	162	435
272	162	433
273	163	432
274	163	431
275	164	430
276	164	429
277	164	428
278	165	426
279	165	425
280	165	424
281	166	423
282	166	422
283	167	421
284	167	420
285	167	419
286	168	418
287	168	417
288	169	415
289	169	414
290	169	413
291	170	412
292	170	411
293	170	410
294	171	409
295	171	408
296	172	407
297	172	406
298	172	405
299	173	404
300	173	403
301	173	402
302	174	401
303	174	400
304	175	399
305	175	398
306	175	397
307	176	396
308	176	395
309	177	393
310	177	392
311	177	391
312	178	390
313	178	389
314	178	388
315	179	387
316	179	386
317	179	385
318	180	384
319	180	384
320	181	383
321	181	382
322	181	381
323	182	380
324	182	379
325	182	378
326	183	377
327	183	376
328	184	375
329	184	374
330	184	373
331	185	372
332	185	371
333	186	370
334	186	370
335	186	369
336	187	368
337	187	367
338	187	366
339	188	365
340	188	364
341	189	363
342	189	362
343	189	361
344	190	361
345	190	360
346	190	359
347	191	358
348	191	357
349	192	356
350	192	355
351	192	354
352	193	354
353	193	353
354	193	352
355	194	351
356	194	350
357	195	349
358	195	349
359	195	348
360	196	347
361	196	346
362	196	345
363	197	344
364	197	343
365	198	343
366	198	342
367	198	341
368	199	340
369	199	339
370	200	339
371	200	338
372	200	337
373	201	336
374	201	336
375	202	335
376	202	334
377	202	333
378	203	332
379	203	332
380	203	331
381	204	330
382	204	329
383	205	328
384	205	328
385	205	327
386	206	326
387	206	325
388	207	325
389	207	324
390	207	323
391	208	322
392	208	322
393	208	321
394	209	320
395	209	319
396	210	319
397	210	318
398	210	317
399	211	316
400	211	315
401	211	315
402	212	314
403	212	313
404	213	312
405	213	312
406	213	311
407	214	310
408	214	310
409	215	309
410	215	308
411	215	307
412	216	307
413	216	306
414	216	305
415	217	305
416	217	304
417	218	303
418	218	302
419	218	302
420	219	301
421	219	300
422	219	299
423	220	299
424	220	298
425	221	297
426	221	297
427	221	296
428	222	295
429	222	295
430	222	294
431	223	293
432	223	292
433	224	292
434	224	291
435	224	290
436	225	290
437	225	289
438	225	288
439	226	288
440	226	287
441	227	286
442	227	286
443	227	285
444	228	284
445	228	284
446	229	283
447	229	282
448	229	282
449	230	281
450	230	280
451	231	280
452	231	279
453	231	278
454	232	278
455	232	277
456	233	276
457	233	276
458	233	275
459	234	274
460	234	274
461	234	273
462	235	272
463	235	272
464	236	271
465	236	271
466	236	270
467	237	269
468	237	269
469	237	268
470	238	267
471	238	267
472	239	266
473	239	265
474	239	265
475	240	264
476	240	263
477	241	263
478	241	262
479	241	261
480	242	261
481	242	260
482	242	260
483	243	259
484	243	258
485	244	258
486	244	257
487	244	256
488	245	256
489	245	255
490	245	255
491	246	254
492	246	253
493	247	253
494	247	252
495	247	251
496	248	251
497	248	250
498	249	250
499	249	249
500	249	248
501	250	248
502	250	247
503	251	247
504	251	246
505	251	245
506	252	245
507	252	244
508	252	243
509	253	243
510	253	242
511	254	242
512	254	241
513	254	240
514	255	240
515	255	239
516	256	239
517	256	238
518	256	237
519	257	237
520	257	236
521	257	236
522	258	235
523	258	234
524	259	234
525	259	233
526	259	233
527	260	232
528	260	232
529	260	231
530	261	230
531	261	230
532	262	229
533	262	229
534	262	228
535	263	227
536	263	227
537	264	226
538	264	226
539	264	225
540	265	224
541	265	224
542	265	223
543	266	223
544	266	222
545	267	222
546	267	221
547	267	220
548	268	220
549	268	219
550	268	219
551	269	218
552	269	218
553	270	217
554	270	216
555	270	216
556	271	215
557	271	215
558	271	214
559	272	214
560	272	213
561	273	212
562	273	212
563	273	211
564	274	211
565	274	210
566	275	210
567	275	209
568	275	208
569	276	208
570	276	207
571	277	207
572	277	206
573	277	206
574	278	205
575	278	204
576	278	204
577	279	203
578	279	203
579	279	202
580	280	202
581	280	201
582	281	201
583	281	200
584	281	199
585	282	199
586	282	198
587	282	198
588	283	197
589	283	197
590	284	196
591	284	196
592	284	195
593	285	194
594	285	194
595	285	193
596	286	193
597	286	192
598	287	192
599	287	191
600	287	191
601	288	190
602	288	190
603	289	189
604	289	188
605	289	188
606	290	187
607	290	187
608	290	186
609	291	186
610	291	185
611	292	185
612	292	184
613	292	184
614	293	183
615	293	183
616	294	182
617	294	181
618	294	181
619	295	180
620	295	180
621	295	179
622	296	179
623	296	178
624	297	178
625	297	177
626	297	177
627	298	176
628	298	176
629	298	175
630	299	174
631	299	174
632	300	173
633	300	173
634	300	172
635	301	172
636	301	171
637	301	171
638	302	170
639	302	170
640	303	169
641	303	169
642	303	168
643	304	168
644	304	167
645	305	167
646	305	166
647	305	166
648	306	165
649	306	165
650	306	164
651	307	164
652	307	163
653	308	163
654	308	162
655	308	161
656	309	161
657	309	160
658	310	160
659	310	159
660	310	159
661	311	158
662	311	158
663	311	157
664	312	157
665	312	156
666	313	156
667	313	155
668	313	155
669	314	154
670	314	154
671	315	153
672	315	153
673	315	152
674	316	152
675	316	151
676	317	151
677	317	150
678	318	150
679	318	149
680	319	149
681	319	148
682	319	148
683	320	148
684	320	147
685	321	147
686	321	146
687	322	146
688	322	145
689	322	145
690	323	144
691	323	144
692	324	143
693	324	143
694	324	142
695	325	142
696	325	141
697	326	141
698	326	140
699	326	140
700	327	139
701	327	139
702	328	138
703	328	138
704	329	137
705	329	137
706	329	136
707	330	136
708	330	135
709	331	135
710	332	134
711	332	134
712	332	133
713	333	133
714	333	132
715	334	132
716	334	131
717	334	131
718	335	130
719	335	130
720	336	130
721	336	129
722	336	129
723	337	128
724	337	128
725	337	127
726	338	127
727	338	126
728	339	126
729	339	125
730	340	125
731	340	124
732	340	124
733	341	123
734	341	123
735	342	122
736	342	122
737	343	121
738	343	121
739	343	120
740	344	120
741	344	119
742	345	119
743	345	118
744	345	118
745	346	117
746	346	117
747	347	116
748	347	116
749	347	115
750	348	115
751	348	114
752	349	114
753	349	114
754	350	113
755	350	113
756	350	112
757	351	112
758	351	111
759	351	111
760	352	110
761	352	110
762	353	109
763	353	109
764	353	108
765	354	108
766	354	107
767	355	107
768	355	106
769	355	106
770	356	105
771	356	105
772	357	104
773	357	104
774	357	103
775	358	103
776	358	102
777	359	102
778	359	101
779	359	101
780	360	101
781	360	100
782	361	100
783	361	99
784	361	99
785	362	98
786	362	98
787	363	97
788	363	97
789	363	96
790	364	96
791	364	95
792	365	95
793	365	94
794	365	94
795	366	93
796	366	93
797	367	92
798	367	92
799	367	91
800	368	91
801	368	91
802	369	90
803	369	90
804	369	89
805	370	89
806	370	88
807	370	88
808	371	87
809	371	87
810	372	86
811	372	86
812	373	85
813	373	85
814	373	84
815	374	84
816	374	83
817	374	83
818	375	82
819	375	82
820	376	81
821	376	81
822	376	81
823	377	80
824	377	80
825	378	79
826	378	79
827	378	78
828	379	78
829	379	77
830	380	77
831	380	76
832	380	76
833	381	75
834	381	75
835	381	74
836	382	74
837	382	73
838	383	73
839	383	73
840	383	72
841	384	72
842	384	71
843	385	71
844	385	70
845	386	70
846	386	69
847	386	69
848	387	68
849	387	68
850	388	67
851	388	67
852	388	67
853	389	66
854	389	66
855	390	65
856	390	65
857	390	64
858	391	64
859	391	63
860	392	63
861	392	62
862	392	62
863	393	61
864	393	61
865	393	60
866	394	60
867	394	60
868	395	59
869	395	59
870	396	58
871	396	58
872	397	57
873	397	57
874	397	56
875	398	56
876	398	55
877	399	55
878	399	54
879	399	54
880	400	54
881	400	53
882	400	53
883	401	52
884	401	52
885	402	51
886	402	51
887	402	50
888	403	50
889	403	49
890	403	49
891	404	48
892	404	48
893	404	48
894	405	47
895	405	47
896	406	46
897	406	46
898	406	45
899	407	45
900	407	44
901	408	44
902	408	43
903	408	43
904	409	42
905	409	42
906	410	42
907	410	41
908	411	41
909	411	40
910	411	40
911	412	39
912	412	39
913	413	38
914	413	38
915	413	37
916	414	37
917	414	37
918	415	36
919	415	36
920	416	35
921	416	35
922	416	34
923	417	34
924	417	33
925	417	33
926	418	32
927	418	32
928	419	32
929	419	31
930	419	31
931	420	30
932	420	30
933	421	29
934	421	29
935	421	28
936	422	28
937	422	27
938	423	27
939	423	27
940	423	26
941	424	26
942	424	25
943	425	25
944	425	24
945	426	24
946	426	23
947	426	23
948	427	22
949	427	22
950	428	22
951	428	21
952	429	21
953	429	20
954	430	20
955	430	19
956	431	19
957	431	18
958	431	18
959	432	18
960	432	17
961	433	17
962	433	16
963	434	16
964	434	15
965	434	15
966	435	14
967	435	14
968	436	13
969	437	13
970	437	13
971	437	12
972	438	12
973	438	11
974	438	11
975	439	10
976	439	10
977	440	9
978	440	9
979	441	9
980	441	8
981	441	8
982	442	7
983	442	7
984	443	6
985	443	6
986	444	5
987	444	5
988	444	4
989	445	4
990	445	4
991	445	3
992	446	3
993	446	2
994	447	2
995	447	1
996	447	1
997	448	0
998	448	0
999	449	0
